codigo_municipio,municipio,cluster_final,total_delitos_tasa,HURTOS_tasa,LESIONES_tasa,VIOLENCIA INTRAFAMILIAR_tasa,HOMICIDIOS_tasa,AMENAZAS_tasa,log_densidad,log_area,centros_por_km2,proporcion_menores,proporcion_adultos,proporcion_adolescentes
68522,PALMAR,0,2661.319039676144,177.42126931174292,842.7510292307788,620.9744425911002,44.35531732793573,443.55317327935734,5.75481800027821,3.0298651468082727,0.050775747581765174,0.16382250995870665,0.7775367104619556,0.058640779579337665
68524,PALMAS DEL SOCORRO,2,10409.262186931663,1597.1883778889855,3937.8954834159463,2450.8580281399945,247.8395758793253,1184.12241809011,4.393755178143354,4.086667161598233,0.01708201012854093,0.1756492607974315,0.7662668322193774,0.058083906983191026
68533,PÁRAMO,2,7358.670037097713,1151.250703478289,4091.6072299295947,855.659306639269,280.03395490012434,311.14883877791596,4.679465939387612,4.303809910692476,0.01370217413801233,0.20440098131487436,0.7336263793987958,0.06197263928632982
68547,PIEDECUESTA,1,14792.838934101354,4946.391059060686,5490.607805063105,2609.8815466184114,252.31101459400074,724.0778532338685,6.30773892350698,6.185328214280817,0.014445728463539085,0.17043262539394363,0.7684361939208256,0.061131180685230845
68549,PINCHOTE,2,8681.678526740017,1703.0431328265813,4071.9377160816007,1242.0690517607397,473.77891665100384,563.4127657471397,5.156399694857519,4.0348673274372135,0.01800652659606885,0.16648031400359756,0.7745265118964564,0.05899317409994594
68572,PUENTE NACIONAL,1,12809.582961790824,3177.912592584956,4955.38912742061,1557.1282040709032,264.4179969177006,1929.2720515847038,4.681115134958528,5.532118120581036,0.027813256429044423,0.15873509559458368,0.7835925868137062,0.05767231759171014
68573,PUERTO PARRA,3,10694.212570724374,1548.4422943216496,3069.7189343569544,2010.2584171895098,651.9757028722735,1512.2214219398568,2.964384157934085,6.637709568484775,0.006558713730710747,0.24315570418685753,0.6887803348135255,0.06806396099961691
68575,PUERTO WILCHES,3,9062.759083523324,1441.4782164344183,2524.1160282118954,1912.456247546654,509.716483887701,1824.7850123179694,3.7559518751715695,7.319193344213389,0.011936448389604682,0.2228991624341267,0.7102383134702668,0.06686252409560653
68615,RIONEGRO,3,8810.748627899493,1639.6629958317528,3681.9218165329094,1093.108663887835,487.9949392356407,939.3902580286084,3.8979713618457135,7.064273630792061,0.012837715102874162,0.19246616673976283,0.7449654629782362,0.06256837028200098
68655,SABANA DE TORRES,3,20837.592244730724,3906.3539594788526,8073.872408424997,2800.5723976918093,925.1890956660441,3192.3191318927466,3.3513305881853293,7.2469879937608965,0.005702595359176502,0.21221002786803705,0.7230189682916282,0.06477100384033482
68669,SAN ANDRÉS,2,4011.2897983091048,459.9411234903297,1636.1839966787136,889.7221733091623,196.0404788647307,354.3808656400901,4.187644121726564,5.643886865896205,0.01065496589626255,0.16175000576743395,0.7815983039012205,0.05665169033134548
68673,SAN BENITO,0,2619.9438305490035,305.0619528721443,1112.5788869454673,412.73087741525393,53.83446227155487,305.0619528721443,4.9021189066872015,4.096226493356652,0.1015004778685289,0.1641636095573004,0.7779834470091619,0.05785294343353775
68679,SAN GIL,1,15965.216657613999,4229.266311942668,6794.775115882952,2622.1978473983686,205.66257626653874,1081.0468752471907,6.40981081929055,4.9963827007568025,0.00680840522184188,0.15981906186341993,0.7827500209586267,0.057430917177953344
68682,SAN JOAQUÍN,2,5668.134650987989,561.4661682582442,2272.60115723575,1256.614757530356,213.89187362218826,534.7296840554707,3.6558160954815277,4.970739446680452,0.01397297642121654,0.17743777153144435,0.763066031344657,0.05949619712389861
68684,SAN JOSÉ DE MIRANDA,0,6953.350838016245,871.0461092979315,3439.1303280901084,1261.51505484528,210.25250914088,585.7034183210228,4.810989921354947,4.334721996431733,0.03983865703616866,0.16966514767637986,0.7657196135393016,0.06461523878431841
68686,SAN MIGUEL,2,2484.7589505079022,388.2435860168597,621.1897376269756,491.775208954689,25.882905734457314,543.5410204236036,4.27627485574082,4.279597206372526,0.014042705689472617,0.16824111687149088,0.7708182201366451,0.060940662991863966
68689,SAN VICENTE DE CHUCURÍ,2,7858.800420328444,1190.205469063621,3239.5785516474443,1381.5568306494122,166.4756845796383,958.6703215448136,4.124733202851141,7.018724580505925,0.0026873037138736744,0.19004523930466768,0.7448542470564122,0.06510051363892003
68705,SANTA BÁRBARA,2,4878.347402001129,628.4987450430903,1616.1396301108036,688.3557683805274,149.64255834359292,927.7838617302762,3.0465992784497287,5.403654806784627,0.009040892636864827,0.18103753741203032,0.7578069051691934,0.06115555741877639
68720,SANTA HELENA DEL OPÓN,3,5762.284754304914,722.3855522889542,1898.3620327593449,1075.1784964300714,67.19865602687946,1075.1784964300714,3.1971822241030727,5.926545320121801,0.016048905831639496,0.21679236623436035,0.712804625980104,0.0704030077855357
68745,SIMACOTA,3,8062.155583100611,1313.3266627838095,2535.555522368742,1465.1563347819379,265.70192599672447,1396.83298238278,2.9658017510131165,6.8087224289641535,0.011053229586703654,0.1957087084318596,0.7416487211478536,0.06264257042028673
68755,SOCORRO,1,14027.857040436695,3222.3895946110547,5676.846084532332,2209.638579161866,236.44806765652544,1809.9785709990663,6.14822312563426,4.858461375093733,0.007823144677808428,0.15766957632518866,0.7753776802814313,0.06695274339338003
68770,SUAITA,2,9326.591872699977,1163.4268134553777,4052.8164820368647,1534.1892045565419,370.7623911011643,1227.3513636452335,4.32306079280711,5.656675262423379,0.01753183133830544,0.16582765485563367,0.7774737613862465,0.05669858375811984
68773,SUCRE,2,3043.8702040629273,281.2271384188574,959.4808251937488,636.8967546544712,157.1563420575968,595.539822534051,3.545659744375822,6.260611909715273,0.01339612413537748,0.18568191816811802,0.7524745715734722,0.06184351025840974
68780,SURATÁ,2,7040.334055499546,505.6593520524536,2800.574872905897,1614.220239244371,330.62342249583503,952.973394252701,3.0040764024437916,5.897177972686871,0.013773771747075794,0.18568462680007974,0.755312479217555,0.059002893982365336
68820,TONA,3,9164.177657149085,839.8940826307715,5403.3185982579635,905.2191779464981,681.2474225782925,541.2650754731638,3.752690488622899,5.804310182274082,0.021165538828888063,0.1907024194312603,0.7471989999439137,0.062098580624825955
68855,VALLE DE SAN JOSÉ,0,9314.752877791685,1260.4537047079411,3869.592873453379,2231.003057333056,138.64990751787352,995.7584267192735,4.815384303179291,4.408119959629228,0.061640926667985124,0.17685517453639954,0.7592949840038974,0.06384984145970313
68861,VÉLEZ,3,12581.660566846123,2516.956668373784,5967.623068563649,1520.7914361017777,187.36650136777547,1580.1241615349063,4.47321937429245,6.106302646466401,0.013402528260719757,0.16401160650623134,0.7632340562931312,0.07275433720063743
68867,VETAS,0,7414.828094954347,730.6582429334575,2922.63297173383,1434.2550694619722,324.73699685931444,1407.1936530570292,3.9645667184334603,4.537130999440487,0.043279557653150336,0.18731153818142593,0.7509384984193748,0.06174996339919932
68872,VILLANUEVA,2,5744.433229347802,605.1993557689394,2450.5613258184926,1805.6767663925732,109.134310056694,406.7733374840413,4.8857078201222945,4.591141373428589,0.010245175946260506,0.16617031771481441,0.7757430033863005,0.05808667889888516
68895,ZAPATOCA,2,4650.915079508619,889.0374796533063,1425.398934320177,984.5539030871325,146.94834374434816,595.14079216461,3.9357496473525897,5.901043411954587,0.008232292211601232,0.18018292148567236,0.760737198902037,0.0590798796122908
